blink_count,mean_ibi,ibi_std,target
8,1.2927792753492082,0.4332717546817666,1
7,1.3689554929733276,0.6380034745476195,1
4,3.259655316670736,1.639200488672898,1
7,1.4904165267944336,0.9014444152691752,1
4,2.5308523178100586,1.16163285353098,1
7,1.0045643250147502,0.3052465216772488,1
3,2.546435594558716,1.4064435958862305,1
3,2.964330554008484,0.05717146396636963,1
5,2.444452464580536,1.9766981585835923,1
2,5.719218969345093,0.0,1
3,3.6391910314559937,1.356408953666687,1
4,3.2242132822672525,0.3012384465970882,1
4,2.810302257537842,1.2549545794235357,1
11,0.8945675134658814,0.2026273840979973,1
8,1.3802635669708252,0.6594937029433839,1
12,0.8985108245502819,0.4259200168018571,1
8,1.3225595951080322,0.2673428512422606,1
9,1.2353872656822205,0.3838655185956529,1
6,1.9144525527954102,0.7482349332475221,1
7,1.6467312971750896,0.945439693934575,1
9,1.182895988225937,0.21406169728275234,1
5,2.1051185131073,1.2098082770727867,1
7,1.4907911618550618,0.7846901509481474,1
2,17.315032720565796,0.0,1
8,1.3367631435394287,0.42923008416717995,1
6,1.8927266120910644,0.31103394497916503,1
7,1.4218786557515461,0.5391011644074623,1
6,1.9771621704101563,0.7309099957712388,1
7,1.490668495496114,0.5471989999170164,1
7,1.6472474733988445,0.9692753587391851,1
5,2.132075011730194,1.2263933075259899,1
5,2.3663727045059204,0.6677148485660395,1
6,1.6636102199554443,0.6610044227273499,1
7,1.5426727930704753,0.7468274621360487,1
8,1.337094443184989,0.6990061258546336,1
11,0.998898720741272,0.36798731307101185,1
7,1.47263765335083,1.1015521396647743,1
5,2.469969928264618,1.4055194647421725,1
6,1.622087574005127,0.6574887055914743,1
6,1.9760057926177979,1.0070068053698837,1
7,1.4725963274637859,0.7983110898768976,1
9,1.2220487296581268,0.25850914613624965,1
6,1.6640041828155518,1.0087436485209746,1
7,1.5252561569213867,0.7100177415011475,1
6,1.5598472118377686,1.141769270197775,1
6,1.6433207988739014,0.48982345161757007,1
4,1.803071657816569,1.014777538340307,1
4,3.1202402909596763,1.2333289519443154,1
7,1.6291193167368572,0.7838028310111161,1
5,2.1826955676078796,0.8141618532939519,1
8,1.3827048710414342,0.6057536583983351,1
6,1.7459757804870606,1.0079852462935033,1
6,1.68406982421875,0.4695657298962424,1
7,1.5080488125483196,0.7321665976022061,1
7,1.4392754634221394,0.8117552746517067,1
7,1.6302462021509807,0.9146132468271242,1
8,1.4267963000706263,0.41268731395934816,1
8,1.2328455788748605,0.40269678651384494,1
8,1.20355943271092,0.2826945789388603,1
7,1.6637888352076213,1.07996566670375,1
5,1.8708747625350952,1.1608648785155267,1
9,1.2352069020271301,0.36468149349686463,1
8,1.351945400238037,0.4775957223519883,1
4,1.9423843224843342,0.789641586498736,1
6,1.6427197933197022,0.3226402098396272,1
8,1.3528228487287248,0.7621483632421916,1
4,2.4263052940368652,1.4082523708263854,1
5,1.7931784987449646,0.6173353820711777,1
8,1.4264833245958601,0.3232892289746367,1
7,1.6286970376968384,1.0325661248750995,1
6,1.6437936305999756,1.3713418536212731,1
5,1.8456617593765259,0.5027968151842855,1
7,1.6639136870702107,0.6726732112536826,1
6,1.9968053817749023,1.1348614867837317,1
8,1.2925617013658797,0.3288733680192129,1
7,1.4039993286132812,0.5337401847512615,1
6,1.8517159938812255,0.9930954759414997,1
3,1.8708950281143188,0.41069114208221436,1
5,2.4960217475891113,0.6889184240744709,1
4,3.153265953063965,2.4729315077337337,1
5,2.469531297683716,1.49253029313743,1
3,2.0260144472122192,0.8882514238357544,1
4,3.2241156101226807,2.4085124140197407,1
4,2.4970720609029136,0.9450213324649995,1
9,1.170185387134552,0.2676204383510804,1
5,1.6132490038871765,1.1271324016024729,1
2,15.101612091064453,0.0,1
2,0.9322817325592041,0.0,1
2,11.858774900436401,0.0,1
7,1.5259530146916707,1.2549800947014347,1
7,1.612016002337138,1.221453535187013,1
6,1.933436965942383,0.7612547529139752,1
6,1.2893055915832519,0.6501439779202695,1
7,1.6460436582565308,0.9199753734943654,1
